Date,Type,Gender,weather,Path
2019-09-20 11:42:54,formal,male,summer,dataset\formal_men_summer\Mens Summer Perfect Fabric Shirts Linen Shirts.jpeg
2020-02-19 21:35:43,beach,male,Summer,dataset\beach_men\What To Wear In Greece_ 20 Outfit Ideas for Men.jpeg
2005-12-30 12:33:02,casual,male,summer,dataset\casual_men_summer\dce0cc20-48bc-4c22-b8d5-15a6e84539e0.jpeg
2002-02-07 03:51:00,formal,male,winter,dataset\formal_men_winter\WhatsApp Image 2024-01-04 at 10.56.52_480ca407.jpg
2008-03-20 13:20:57,casual,female,winter,dataset\casual_women_winter\Screenshot_20240104-133752.png
2007-07-10 15:10:25,beach,male,Summer,dataset\beach_men\Orlebar Brown Spring Summer 19 (1).jpeg
2020-01-13 19:20:18,formal,male,summer,"dataset\formal_men_summer\New arrivals for men, women and children.jpeg"
2018-03-04 06:37:29,casual,male,summer,dataset\casual_men_summer\Screenshot_20231230-165759.png
2000-08-08 03:10:24,formal,male,summer,dataset\formal_men_summer\new shirt collection Gallery.jpeg
2006-03-02 20:18:33,casual,female,summer,dataset\casual_women_summer\Screenshot_20240104-131549.png
2012-05-31 13:27:26,formal,male,winter,dataset\formal_men_winter\WhatsApp Image 2024-01-04 at 10.57.31_e8234380.jpg
2013-06-06 05:33:14,formal,female,winter,dataset\formal_women_winter\Ann Taylor The Ankle Pant in Double Knit Size 8 Pure Sapphire Women_s.jpeg
2019-02-24 08:33:33,formal,male,summer,dataset\formal_men_summer\Rabbani fashion designer ❤️.jpeg
2019-04-10 01:42:41,formal,male,summer,dataset\formal_men_summer\Men's  Clothing & Apparel _ Zazzle.jpeg
2015-01-13 15:27:57,formal,male,summer,dataset\formal_men_summer\c01916bf-91de-4110-8202-08d5e727d9f7.jpeg
2016-06-16 12:05:35,casual,female,summer,dataset\casual_women_summer\pretty outfits __ y2k outfits __ fall outfits 2023.jpeg
2018-10-06 06:05:11,formal,male,summer,dataset\formal_men_summer\Traveler Stretch Dress Shirt for Tall Men in White - M _ Tall _ White.jpeg
